rule,pass_tests,fail_tests,status
angle,DRC_ANG_PASS,DRC_ANG_FAIL;DRC_FUZZ_SELF_ANG;DRC_FUZZ_ACUTE_ANG,proven
antenna,DRC_ANT_PASS,DRC_ANT_FAIL,proven
antenna_car,DRC_CAR_PASS;DRC_CAR_DIODE,DRC_CAR_FAIL,proven
asymmetric_enclosure,DRC_AENC_PASS,DRC_AENC_FAIL,proven
cheesing,DRC_CH_PASS;DRC_CH_SMALL,DRC_CH_FAIL,proven
corner_to_corner,DRC_C2C_PASS,DRC_C2C_FAIL,proven
differential,DIFF_INV_CROSS,DIFF_INV_NEG,proven
eol_spacing,DRC_EOL_PASS;DRC_EOL_WIDE;DRC_EOL_SIDE,DRC_EOL_FAIL,proven
max_density,DRC_XD_PASS;DRC_DGRAD_MAX,DRC_XD_FAIL,proven
max_distance_to_tap,DRC_MDT_PASS,DRC_MDT_FAIL,proven
max_width,DRC_XW_PASS,DRC_XW_FAIL,proven
min_area,DRC_MA_PASS;DRC_MA_EXACT,DRC_MA_FAIL,proven
min_density,DRC_MD_PASS,DRC_MD_FAIL;DRC_MD_MULTI;DRC_DGRAD_MIN,proven
min_edge_length,DRC_EL_PASS,DRC_EL_FAIL,proven
min_enclosed_area,DRC_MEA_PASS,DRC_MEA_FAIL,proven
min_enclosure,DRC_ENC_PASS;DRC_ENC_CONC_PASS;DRC_WE_PASS,DRC_ENC_FAIL;DRC_ENC_UNHOSTED;DRC_ENC_CONC_FAIL;DRC_WE_FAIL;DRC_WE_NONE,proven
min_extension,DRC_EXT_PASS;DRC_EXT_H_PASS,DRC_EXT_FAIL;DRC_EXT_H_FAIL,proven
min_spacing,DRC_MS_PASS;DRC_NVS_MERGE_SPACE;DRC_FUZZ_COIN_SP,DRC_MS_FAIL;DRC_NVS_SEP_SPACE;DRC_STRICT_MERGE_SP;DRC_STRICT_SEP_SP;DRC_HIER;DRC_HIER_NEST;DRC_PATH,proven
min_spacing_diff,DRC_MSD_PASS,DRC_MSD_FAIL,proven
min_width,DRC_MW_PASS;DRC_PATH_BEND;DRC_MW_DIAG_PASS,DRC_MW_FAIL;DRC_MW_LSHAPE;DRC_FUZZ_ZERO_W;DRC_MW_DIAG_FAIL,proven
multi_patterning,DRC_MP_PASS,DRC_MP_FAIL,proven
notch,DRC_N_PASS;DRC_NVS_SEP_NOTCH;DRC_FUZZ_COIN_N;DRC_STRICT_MERGE_N,DRC_N_FAIL;DRC_NVS_MERGE_NOTCH,proven
off_grid,DRC_OG_PASS,DRC_OG_FAIL;DRC_FUZZ_OFFG,proven
overlap,DRC_OV_PASS,DRC_OV_FAIL,proven
polygon_validity,DRC_VALID_KEYHOLE,DRC_VALID_SELF;DRC_VALID_ZERO,proven
prl_spacing,DRC_PRL_PASS,DRC_PRL_FAIL,proven
redundant_via,DRC_RV_PASS,DRC_RV_FAIL,proven
via_array_spacing,DRC_VAS_PASS,DRC_VAS_FAIL,proven
wide_dependent_spacing,DRC_WDS_PASS;DRC_WDS_WIDE_OK,DRC_WDS_FAIL,proven
